#fileName	intercept	slope	chi2/ndof
20652	-0.0000234168	0.0000007725	1.7343888568
20653	-0.0000229107	0.0000007812	1.7287877791
20654	-0.0000224428	0.0000007634	2.8565790100
20655	-0.0000228180	0.0000007764	1.9162761435
20656	-0.0000235140	0.0000007898	1.2418179439
20657	-0.0000226021	0.0000007623	1.4384749637
20658	-0.0000233574	0.0000007874	2.2176418470
20659	-0.0000230447	0.0000007743	1.6827579872
20660	-0.0000232653	0.0000007772	2.2437256756
20661	-0.0000235783	0.0000007647	1.5179380995
20662	-0.0000235140	0.0000007817	1.8371199857
20663	-0.0000227248	0.0000007576	1.8604607115
20664	-0.0000234994	0.0000007546	0.7900693945
20665	-0.0000238292	0.0000007627	1.9392358795
20666	-0.0000240897	0.0000007664	1.3395424971
20667	-0.0000239713	0.0000007636	1.0254450730
20668	-0.0000228457	0.0000007877	2.2265002692
20669	-0.0000226289	0.0000007812	1.8795236715
20670	-0.0000227354	0.0000007873	1.9462943851
20671	-0.0000228288	0.0000007859	1.0562388288
20672	-0.0000229962	0.0000007883	1.3941401742
20673	-0.0000228871	0.0000007845	1.7308423172
20674	-0.0000226432	0.0000007723	1.3925055144
20675	-0.0000230577	0.0000007855	1.2103546457
20676	-0.0000222468	0.0000007577	1.4333923851
20677	-0.0000227092	0.0000007678	1.1414230015
20678	-0.0000230275	0.0000007780	1.4863508305
20679	-0.0000229558	0.0000007697	1.2696745819
20680	-0.0000230713	0.0000007742	1.4205775125
20681	-0.0000230267	0.0000007682	1.7243052128
20682	-0.0000232059	0.0000007723	1.6379047619
20683	-0.0000235433	0.0000007806	0.7687008194
20684	-0.0000234770	0.0000007794	1.8781291699
20685	-0.0000231546	0.0000007672	1.9400163138
20686	-0.0000232349	0.0000007675	2.5049368006
20687	-0.0000236997	0.0000007802	1.3731206858
20688	-0.0000234504	0.0000007727	2.1203312924
20689	-0.0000224147	0.0000007608	2.4098661235
20690	-0.0000228347	0.0000007718	1.3364184581
20691	-0.0000229835	0.0000007730	1.1714822454
20692	-0.0000230670	0.0000007771	1.4318943201
20693	-0.0008809217	0.0000294822	23.7511311559
20694	-0.0000225895	0.0000007569	2.1012007019
20695	-0.0000229428	0.0000007681	1.5125913609
20696	-0.0000230099	0.0000007675	2.9656477879
20697	-0.0000234379	0.0000007764	1.2445385655
20698	-0.0000231799	0.0000007675	1.1173238676
20699	0.0004978162	-0.0000163988	7.5887915862
20700	-0.0000232885	0.0000007675	1.3334559642
20701	-0.0000231590	0.0000007613	2.0087668475
20702	-0.0000236099	0.0000007721	1.3733182636
20703	-0.0000234787	0.0000007697	1.8754882754
20704	-0.0000235506	0.0000007697	1.5647058203
20705	-0.0000231935	0.0000007571	1.7212475632
20706	-0.0000236389	0.0000007667	1.3666830741
20707	-0.0000242757	0.0000007852	2.3010937243
20708	-0.0000236175	0.0000007610	1.6041800127
20709	-0.0000234390	0.0000007781	1.4103918107
20710	-0.0000230284	0.0000007673	1.0456870577
20711	-0.0000231915	0.0000007674	2.1265911751
20712	-0.0000229367	0.0000007595	1.5631637972
20713	-0.0000231290	0.0000007628	1.4795288892
20714	-0.0000236562	0.0000007752	1.1048655035
20715	-0.0000236958	0.0000007757	1.7341338281
20716	-0.0000234626	0.0000007662	1.7883224192
20717	-0.0000234785	0.0000007641	1.3363062007
20718	-0.0000236594	0.0000007682	2.2031032665
20719	-0.0000241736	0.0000007817	0.9254698420
20720	-0.0000241202	0.0000007808	1.4680615474
20721	-0.0000239246	0.0000007732	1.3355943269
20722	-0.0000239512	0.0000007717	1.3869060624
20723	-0.0000242808	0.0000007780	1.7269287781
20724	-0.0000241239	0.0000007788	1.4156120234
20725	-0.0000243283	0.0000007791	1.6336103647
20726	-0.0000239960	0.0000007666	1.2095000193
20727	-0.0000241096	0.0000007689	1.5149631760
20728	-0.0000243700	0.0000007720	3.4208642790
20729	-0.0000216291	0.0000007564	0.7466897986
20730	-0.0000218188	0.0000007629	1.6881849050
20731	-0.0000221156	0.0000007691	1.6528761332
20732	-0.0000221345	0.0000007683	2.4581679032
20733	-0.0000219925	0.0000007624	1.2614336324
20734	-0.0000223999	0.0000007706	1.4201226325
20735	-0.0000223023	0.0000007647	1.9788405863
20736	-0.0000225552	0.0000007737	1.0947150639
20737	-0.0000227978	0.0000007793	1.4783091200
20738	-0.0000223746	0.0000007682	1.3478859617
20739	-0.0000225423	0.0000007661	2.0445200324
20740	-0.0000229081	0.0000007772	2.1540671425
20741	-0.0000227798	0.0000007722	1.2130390103
20742	-0.0000237144	0.0000007752	1.4864535226
20743	-0.0000236475	0.0000007718	0.9196469322
20744	-0.0000235722	0.0000007668	1.4250600461
20745	-0.0000238241	0.0000007710	2.2055058776
20746	-0.0000237425	0.0000007669	1.5964854673
20747	-0.0000236045	0.0000007651	2.0309658600
20748	-0.0000238686	0.0000007669	1.3086776822
20749	-0.0000227414	0.0000007573	1.5293120978
20750	-0.0000232621	0.0000007710	1.3292200252
